Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GY,GenCorp Inc.,8.34,502068000,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/gy
BGC,General Cable Corporation,27.91,1388996970,n/a,1997,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/bgc
GMO,"General Moly, Inc",3.03,276399630,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GGC,Georgia Gulf Corporation,34.43,1178883200,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ggc
GEVO,"Gevo, Inc.",4.25,166982500,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gevo
GLT,Glatfelter,15.79,675196190,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/glt
GFI,Gold Fields Ltd.,13.12,3333254080,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gfi
GRZ,Gold Reserve Inc,3.4,203136400,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/grz
GORO,Gold Resource Corporation,18.05,955061600,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1.85,112252450,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
GG,Goldcorp Incorporated,36.25,29362500000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gg
AUMN,Golden Minerals Co.,4.38,156427320,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",1.16,300279920,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GVA,Granite Construction Incorporated,26.28,1015643160,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/gva
GBG,"Great Basin Gold, Ltd.",0.59,280681290,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gbg
GLDD,Great Lakes Dredge & Dock Corporation,7.23,427372530,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/gldd
GNI,Great Northern Iron Ore Properties,72.87,109305000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gni
