Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GPR,GeoPetro Resources Co,0.0988,4470996.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gpr
GEOI,"GeoResources, Inc.",33.195,850854240,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/geoi
GGS,"Global Geophysical Services, Inc.",6.05,224582050,n/a,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ggs
GLP,Global Partners LP,24.2,663830200,n/a,2005,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/glp
GMXR,"GMX Resources, Inc.",0.8494,62204110.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gmxr
GDP,Goodrich Petroleum Corporation,11.84,430312960,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp
GTI,GrafTech International Ltd,10.78,1551047960,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gti
GTE,Gran Tierra Energy Inc.,4.61,1228449750,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte
GB,"Greatbatch, Inc.",23.27,550265690,n/a,2000,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gb
GSIG,"GSI Group, Inc.",10.27,345421180,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gsig
GLF,"GulfMark Offshore, Inc.",38.45,1035958350,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/glf
GPOR,Gulfport Energy Corporation,20.9,1163085000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gpor
HK,Halcon Resources Corporation,6.92,995275920,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hk
HNRG,Hallador Energy Company,7.51,212653160,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/hnrg
HAL,Halliburton Company,33.62,31031461720,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hal
HRG,Harbinger Group Inc,9.53,1335791510,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hrg
HNR,Harvest Natural Resources Inc,8.01,299293650,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hnr
HEK,Heckmann Corporation,3.24,482685480,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hek
