,Name,Ticker,Industry,Sector,Market Cap,Strike,Option Price,Exp. Date,Option Volume,Stock Price,Ex. Div Date,Num Divs.,Div/share,Div Inc,Gain/Loss Exercise,Total Income,Return,Annual Return
4,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,11.0,0.10000000000000001,3 - 2013,55,8.5,None,None,None,None,2.5,0.10000000000000001,0.011764705882352941,0.070588235294117646
0,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,7.0,2.2000000000000002,6 - 2013,10,8.5,None,None,None,None,-1.5,0.70000000000000018,0.082352941176470615,0.19764705882352948
1,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,8.0,1.45,6 - 2013,15,8.5,None,None,None,None,-0.5,0.94999999999999996,0.11176470588235293,0.26823529411764702
2,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,9.0,0.69999999999999996,6 - 2013,50,8.5,None,None,None,None,0.5,0.69999999999999996,0.082352941176470587,0.1976470588235294
3,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,10.0,0.45000000000000001,6 - 2013,150,8.5,None,None,None,None,1.5,0.45000000000000001,0.052941176470588235,0.12705882352941175
4,Turquoise Hill Resources Ltd.,TRQ,Precious Metals,Basic Industries,8546601505.0,11.0,0.25,6 - 2013,10,8.5,None,None,None,None,2.5,0.25,0.029411764705882353,0.070588235294117646
1,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,12.5,2.73,4 - 2013,1.0,15.59,11 - 2,1.0,0.0,0.0,-3.0899999999999999,-0.35999999999999988,-0.023091725465041686,-0.092366901860166745
2,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,15.0,0.96999999999999997,4 - 2013,35.0,15.59,11 - 2,1.0,0.0,0.0,-0.58999999999999986,0.38000000000000012,0.024374599101988463,0.097498396407953852
3,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,17.5,0.34999999999999998,4 - 2013,100.0,15.59,11 - 2,1.0,0.0,0.0,1.9100000000000001,0.34999999999999998,0.022450288646568312,0.089801154586273246
0,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,12.5,3.2599999999999998,7 - 2013,10.0,15.59,11 - 2,1.0,0.0,0.0,-3.0899999999999999,0.16999999999999993,0.010904425914047462,0.021808851828094923
1,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,15.0,1.55,7 - 2013,24.0,15.59,11 - 2,1.0,0.0,0.0,-0.58999999999999986,0.96000000000000019,0.061577934573444529,0.12315586914688906
2,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,17.5,0.59999999999999998,7 - 2013,5.0,15.59,11 - 2,1.0,0.0,0.0,1.9100000000000001,0.59999999999999998,0.038486209108402822,0.076972418216805644
3,Tutor Perini Corporation,TPC,General Bldg Contractors - Nonresidential Bldgs,Basic Industries,741398913.03999996,20.0,0.20000000000000001,7 - 2013,2.0,15.59,11 - 2,1.0,0.0,0.0,4.4100000000000001,0.20000000000000001,0.012828736369467608,0.025657472738935216
3,Two Harbors Investments Corp,TWO,Real Estate Investment Trusts,Consumer Services,3644805148.9000001,11.0,1.3999999999999999,3 - 2013,25.0,12.34,12 - 27,1.0,0.0171,0.0171,-1.3399999999999999,0.077099999999999946,0.0062479740680713089,0.037487844408427853
4,Two Harbors Investments Corp,TWO,Real Estate Investment Trusts,Consumer Services,3644805148.9000001,12.0,0.5,3 - 2013,1.0,12.34,12 - 27,1.0,0.0171,0.0171,-0.33999999999999986,0.17710000000000015,0.014351701782820109,0.086110210696920653
5,Two Harbors Investments Corp,TWO,Real Estate Investment Trusts,Consumer Services,3644805148.9000001,13.0,0.10000000000000001,3 - 2013,6.0,12.34,12 - 27,1.0,0.0171,0.0171,0.66000000000000014,0.11710000000000001,0.0094894651539708282,0.056936790923824969
1,Two Harbors Investments Corp,TWO,Real Estate Investment Trusts,Consumer Services,3644805148.9000001,11.0,1.52,6 - 2013,3.0,12.34,12 - 27,1.0,0.0171,0.0171,-1.3399999999999999,0.19710000000000005,0.01597244732576986,0.038333873581847665
2,Two Harbors Investments Corp,TWO,Real Estate Investment Trusts,Consumer Services,3644805148.9000001,12.0,0.65000000000000002,6 - 2013,46.0,12.34,12 - 27,1.0,0.0171,0.0171,-0.33999999999999986,0.32710000000000017,0.026507293354943288,0.063617504051863893
3,Two Harbors Investments Corp,TWO,Real Estate Investment Trusts,Consumer Services,3644805148.9000001,13.0,0.14999999999999999,6 - 2013,17.0,12.34,12 - 27,1.0,0.0171,0.0171,0.66000000000000014,0.1671,0.013541329011345219,0.032499189627228524
0,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,30.0,1.73,3 - 2013,4.0,30.940000000000001,1 - 23,0.0,0.2948,0.0,-0.94000000000000128,0.7899999999999987,0.02553329023917255,0.15319974143503529
1,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,31.0,1.0600000000000001,3 - 2013,10.0,30.940000000000001,1 - 23,0.0,0.2948,0.0,0.059999999999998721,1.0600000000000001,0.034259857789269557,0.20555914673561734
2,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,32.0,0.46000000000000002,3 - 2013,200.0,30.940000000000001,1 - 23,0.0,0.2948,0.0,1.0599999999999987,0.46000000000000002,0.014867485455720749,0.089204912734324487
3,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,33.0,0.28000000000000003,3 - 2013,4.0,30.940000000000001,1 - 23,0.0,0.2948,0.0,2.0599999999999987,0.28000000000000003,0.0090497737556561094,0.054298642533936653
4,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,29.0,2.25,4 - 2013,"1,248",30.940000000000001,1 - 23,1.0,0.2948,0.2948,-1.9400000000000013,0.60479999999999867,0.019547511312217151,0.078190045248868606
5,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,30.0,1.8999999999999999,4 - 2013,7,30.940000000000001,1 - 23,1.0,0.2948,0.2948,-0.94000000000000128,1.2547999999999986,0.040555914673561684,0.16222365869424674
6,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,31.0,1.28,4 - 2013,744,30.940000000000001,1 - 23,1.0,0.2948,0.2948,0.059999999999998721,1.5748,0.050898513251454426,0.2035940530058177
7,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,32.0,0.80000000000000004,4 - 2013,178,30.940000000000001,1 - 23,1.0,0.2948,0.2948,1.0599999999999987,1.0948,0.035384615384615382,0.14153846153846153
8,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,33.0,0.45000000000000001,4 - 2013,301,30.940000000000001,1 - 23,1.0,0.2948,0.2948,2.0599999999999987,0.74480000000000002,0.024072398190045249,0.096289592760180995
1,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,29.0,3.2000000000000002,7 - 2013,10,30.940000000000001,1 - 23,2.0,0.2948,0.5896,-1.9400000000000013,1.8495999999999988,0.059780219780219739,0.11956043956043948
2,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,30.0,2.5,7 - 2013,"2,611",30.940000000000001,1 - 23,2.0,0.2948,0.5896,-0.94000000000000128,2.1495999999999986,0.069476405946994141,0.13895281189398828
3,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,31.0,2.0099999999999998,7 - 2013,11,30.940000000000001,1 - 23,2.0,0.2948,0.5896,0.059999999999998721,2.5995999999999997,0.084020685197155776,0.16804137039431155
4,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,32.0,1.47,7 - 2013,21,30.940000000000001,1 - 23,2.0,0.2948,0.5896,1.0599999999999987,2.0596000000000001,0.066567550096961858,0.13313510019392372
5,"Tyco International, Ltd. (Switzerland)",TYC,Other Consumer Services,Consumer Services,14410986948.540001,33.0,1.0,7 - 2013,3,30.940000000000001,1 - 23,2.0,0.2948,0.5896,2.0599999999999987,1.5895999999999999,0.05137685843568196,0.10275371687136392
1,"Tyler Technologies, Inc.",TYL,Computer Software: Prepackaged Software,Technology,1625127620.0,45.0,4.0999999999999996,3 - 2013,5.0,53.18,1 - 31,0.0,0.0,0.0,-8.1799999999999997,-4.0800000000000001,-0.076720571643474997,-0.46032342986084995
2,"Tyler Technologies, Inc.",TYL,Computer Software: Prepackaged Software,Technology,1625127620.0,50.0,3.0,3 - 2013,1.0,53.18,1 - 31,0.0,0.0,0.0,-3.1799999999999997,-0.17999999999999972,-0.003384731101918009,-0.020308386611508054
3,"Tyler Technologies, Inc.",TYL,Computer Software: Prepackaged Software,Technology,1625127620.0,55.0,0.84999999999999998,3 - 2013,1.0,53.18,1 - 31,0.0,0.0,0.0,1.8200000000000003,0.84999999999999998,0.015983452425723955,0.095900714554343736
0,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,21.0,1.5,3 - 2013,1.0,22.300000000000001,11 - 28,1.0,0.0027,0.0027,-1.3000000000000007,0.20269999999999921,0.0090896860986546726,0.054538116591928032
1,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,22.0,1.0,3 - 2013,113.0,22.300000000000001,11 - 28,1.0,0.0027,0.0027,-0.30000000000000071,0.70269999999999921,0.0315112107623318,0.18906726457399081
2,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,23.0,0.40000000000000002,3 - 2013,1.0,22.300000000000001,11 - 28,1.0,0.0027,0.0027,0.69999999999999929,0.4027,0.018058295964125559,0.10834977578475335
6,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,21.0,1.8,4 - 2013,5,22.300000000000001,11 - 28,1.0,0.0027,0.0027,-1.3000000000000007,0.50269999999999926,0.022542600896860953,0.090170403587443812
7,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,22.0,0.90000000000000002,4 - 2013,1,22.300000000000001,11 - 28,1.0,0.0027,0.0027,-0.30000000000000071,0.60269999999999935,0.027026905829596382,0.10810762331838553
8,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,23.0,0.59999999999999998,4 - 2013,32,22.300000000000001,11 - 28,1.0,0.0027,0.0027,0.69999999999999929,0.60270000000000001,0.027026905829596413,0.10810762331838565
9,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,24.0,0.29999999999999999,4 - 2013,12,22.300000000000001,11 - 28,1.0,0.0027,0.0027,1.6999999999999993,0.30269999999999997,0.013573991031390132,0.054295964125560529
10,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,27.0,0.029999999999999999,4 - 2013,10,22.300000000000001,11 - 28,1.0,0.0027,0.0027,4.6999999999999993,0.0327,0.0014663677130044843,0.0058654708520179373
5,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,21.0,2.1899999999999999,7 - 2013,2,22.300000000000001,11 - 28,1.0,0.0027,0.0027,-1.3000000000000007,0.89269999999999916,0.04003139013452911,0.08006278026905822
6,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,22.0,1.3999999999999999,7 - 2013,17,22.300000000000001,11 - 28,1.0,0.0027,0.0027,-0.30000000000000071,1.1026999999999991,0.0494484304932735,0.098896860986547
7,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,23.0,1.0,7 - 2013,1,22.300000000000001,11 - 28,1.0,0.0027,0.0027,0.69999999999999929,1.0026999999999999,0.04496412556053811,0.089928251121076219
8,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,24.0,0.62,7 - 2013,3,22.300000000000001,11 - 28,1.0,0.0027,0.0027,1.6999999999999993,0.62270000000000003,0.027923766816143499,0.055847533632286998
9,"Tyson Foods, Inc.",TSN,Meat/Poultry/Fish,Consumer Non-Durables,6432712367.3999996,25.0,0.34999999999999998,7 - 2013,50,22.300000000000001,11 - 28,1.0,0.0027,0.0027,2.6999999999999993,0.35269999999999996,0.015816143497757847,0.031632286995515693
8,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,32.0,1.54,3 - 2013,28,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,-1.1099999999999994,0.43780000000000063,0.013222591362126265,0.079335548172757592
9,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,33.0,0.81000000000000005,3 - 2013,15,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,-0.10999999999999943,0.70780000000000065,0.02137722742373907,0.12826336454243442
10,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,34.0,0.33000000000000002,3 - 2013,53,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,0.89000000000000057,0.33779999999999999,0.010202355783751133,0.061214134702506799
11,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,35.0,0.10000000000000001,3 - 2013,77,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,1.8900000000000006,0.10780000000000001,0.0032558139534883722,0.019534883720930235
12,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,36.0,0.040000000000000001,3 - 2013,35,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,2.8900000000000006,0.047800000000000002,0.0014436726064633043,0.0086620356387798261
1,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,32.0,1.6200000000000001,4 - 2013,4.0,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,-1.1099999999999994,0.5178000000000007,0.015638779824826358,0.062555119299305434
2,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,33.0,1.0600000000000001,4 - 2013,18.0,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,-0.10999999999999943,0.95780000000000065,0.028927816369676854,0.11571126547870741
3,U.S. Bancorp,USB,Major Banks,Finance,62259070301.120003,34.0,0.52000000000000002,4 - 2013,13.0,33.109999999999999,12 - 27,1.0,0.0078000000000000005,0.0078000000000000005,0.89000000000000057,0.52780000000000005,0.015940803382663848,0.063763213530655394
